epoch,loss_epoch,trainCSF_epoch,trainGM_epoch,trainWM_epoch,val_loss,valCSF,valGM,valWM
5,0.07198934257030487,0.9870326519012451,0.9819490313529968,0.9700379967689514,0.05645766854286194,0.990799069404602,0.9850228428840637,0.977511465549469
6,0.07204782217741013,0.9869828820228577,0.9820005297660828,0.9699578881263733,0.05312056839466095,0.9910652041435242,0.9858677387237549,0.9792366027832031
7,0.07167907804250717,0.9870768189430237,0.9819386005401611,0.9700970649719238,0.05533567816019058,0.990307629108429,0.9852566719055176,0.9785221219062805
8,0.0717395693063736,0.9870190024375916,0.9818433523178101,0.9700081944465637,0.05429299548268318,0.9902478456497192,0.9856812953948975,0.9786636829376221
9,0.07116980105638504,0.9871264100074768,0.982119083404541,0.9700585603713989,0.052960772067308426,0.9910148978233337,0.9855890870094299,0.9796534180641174
10,0.0703999400138855,0.9872307181358337,0.982306718826294,0.9704285860061646,0.05295195430517197,0.9909807443618774,0.9854012727737427,0.9790412187576294
11,0.07178034633398056,0.9870135188102722,0.9819202423095703,0.9704863429069519,0.05339629203081131,0.9909010529518127,0.9856248497962952,0.9789717197418213
12,0.07097878307104111,0.9872063398361206,0.9821407794952393,0.9703574776649475,0.0525510311126709,0.9911953806877136,0.9856992363929749,0.9787104725837708
13,0.07023200392723083,0.9873037934303284,0.9824209809303284,0.9708278179168701,0.050762537866830826,0.9911104440689087,0.9861927032470703,0.9795016050338745
14,0.07074827700853348,0.9872554540634155,0.9824142456054688,0.9705958366394043,0.051274996250867844,0.9910982847213745,0.9857732653617859,0.9800964593887329
15,0.06980790197849274,0.9873672723770142,0.9824815988540649,0.9710056781768799,0.055023957043886185,0.9903479218482971,0.9854348301887512,0.9791942834854126
16,0.06970816105604172,0.9874496459960938,0.9826978445053101,0.9709709882736206,0.053886301815509796,0.990498423576355,0.9853675365447998,0.9788374304771423
17,0.07010146975517273,0.9872900247573853,0.9823358058929443,0.9710193276405334,0.0508287213742733,0.9913004636764526,0.9860779047012329,0.9801622629165649
18,0.06893816590309143,0.9875091314315796,0.9827549457550049,0.9715101718902588,0.050577279180288315,0.9911212921142578,0.9863215684890747,0.9801608920097351
19,0.06923212110996246,0.9875097870826721,0.9826037883758545,0.9711261987686157,0.05223536863923073,0.9909542202949524,0.9856774806976318,0.9797128438949585
1,0.06810884922742844,0.9876744151115417,0.9828401803970337,0.9719237089157104,0.049939222633838654,0.9913904070854187,0.9863550662994385,0.9807310104370117
2,0.06697215139865875,0.9878785014152527,0.9833040237426758,0.9721675515174866,0.05051414668560028,0.991533100605011,0.9862162470817566,0.9803376793861389
3,0.06665126234292984,0.9879217147827148,0.9833027124404907,0.9724336862564087,0.050361279398202896,0.9912720918655396,0.9863753914833069,0.9807033538818359
4,0.06673949956893921,0.9878973364830017,0.9831511378288269,0.972364068031311,0.04972079023718834,0.9916021227836609,0.9860334396362305,0.9810229539871216
5,0.06624822318553925,0.9880267381668091,0.9833868145942688,0.973084032535553,0.04852079972624779,0.9914810657501221,0.9865556359291077,0.9814947843551636
6,0.06501343101263046,0.9882141947746277,0.9837384223937988,0.9732969999313354,0.04840925708413124,0.9915429949760437,0.9870535731315613,0.9815231561660767
